entries: 230
01101 复仇者 | 反击：对击杀者造成2伤害。下阶段开始退场
01102 堕落者 | 
01103 腐化之心 | 
01104 佣兵 | 进场：对对方一召唤物造成1伤害
01105 牌场老手 | 己方回合开始摸一张牌
01106 无名之辈 | 退场：+1能量。主动退场：+3能量
01107 妖精 | 主动退场：+2能量，为己方一召唤物附加护盾（可一直拥有）
01108 搜查官 | 进场：若对方场上存在反制牌，减一对方能量
01109 尖啸者 | 反击：击杀者的攻击力永久-1
01110 碎片 | 进场：使己方一召唤物退场
01111 深潜者 | 主动退场：触发己方召唤物的主动退场（除了小丑和深潜者）
01112 脆弱精灵 | 附着：为附着者+1+1，阶位+1
01113 传送阵 | 自己回合开始可选择与己方一召唤物互换位置
01114 暴徒 | 攻击持有护盾的召唤物额外扣除目标2生命值
01115 虚伪之火 | 先手：退场并为己方一召唤物附加护盾（攻击回合结束消失）
01116 肉山 | 
01117 苦难给予者 | 进场：永久给予对方一召唤物一个自己的退场。退场：回手/减能量/全体伤/扣血
01118 猎犬 | 攻击有（主动）退场特性的召唤物伤害修正+2
01119 认同指令 | 附着：为附着者添加机械前缀，每另有机械前缀召唤物+1+1（最多+2+2）
01120 宝石碎片#1 | 退场：加入对方手牌。两张碎片同场触发组合效果
01121 宝石碎片#2 | 退场：加入对方手牌。两张碎片同场触发组合效果
01122 宝石碎片#3 | 退场：加入对方手牌。两张碎片同场触发组合效果
01123 宝石碎片#4 | 退场：加入对方手牌。两张碎片同场触发组合效果
01124 舞者 | 先手：若在后排→与前排互换，若在前排→与后排互换
01125 投机者 | 攻击有先手或进场特性的召唤物伤害修正+2
01126 凝聚体 | 附着：为附着者+2+1
01127 改造者 | 附着：+1+1。进场：为己方场上/手牌一召唤物附加灵能前缀
01128 超数故障 | 附着：+2+0。在场时己方存活人数判定+1
01129 滋养者 | 未附着时己方回合开始恢复自己2HP。附着：为灵能附着者+3+0
01130 真视之眼 | 附着：+1+0。在场时可查看对方反制牌具体效果（灵能→查看手牌）
01131 未弃之人 | 附着：+0+1，当附着者即将触发退场时改为触发主动退场
01132 生命窃取者 | 血歌。进场：HP增加己方带有血歌前缀召唤物数
01133 祭血魔物 | 血歌。进场：ATK增加己方带有血歌前缀召唤物数
01134 游魂 | 血歌。附着：+1+3，每阶段开始扣1HP
01135 杂耍大师 | 抛置：使己方两格子召唤物互换位置
01136 难民 | 抛置：对对方一召唤物造成1伤害
01301 小丑 | 退场/主动退场：触发己方召唤物的退场/主动退场（除了小丑和深潜者）
01302 疗 | 每阶段开始恢复本排召唤物2HP
01303 潜行者 | 将攻击后排对位
01304 黑暗骑士 | 将攻击前排对位
01305 幼生之龙 | 攻击前排对位。攻击对目标排其他召唤物造成2伤害
01306 阴 | HP=对方最低，ATK=对方最高。主动退场：使敌ATK最高退场。阴+阳→合体
01307 阳 | HP=对方最高，ATK=对方最低。主动退场：使敌HP最高退场。阴+阳→合体
01308 麻烦制造者 | 攻击回合开始给予对方一召唤物先手（扣己方玩家1HP）
01309 无赖 | 进场：获得护盾。退场：召唤手牌一名英雄。反击：对方摸两张牌
01310 蜂王 | 先手：对对方全体召唤物造成1伤害
01311 指挥家 | 进场/主动退场：使己方一召唤物退场，退场效果x2（主动退场额外返还费用）
01312 逃兵 | 先手：可选择与相邻格子互换位置
01313 嫉妒之辈 | 进场：使己方一召唤物退场回手，自己增加退场召唤物当前数值
01314 万人迷 | 进场：召唤手牌一名英雄。先手：对手+1能量
01315 资本家 | 自己回合开始额外+1能量并摸一张牌
01316 窃贼 | 退场：摸两张牌。主动退场：从对方手牌挑选一张获得
01317 贪欲之蛇 | 进场：复制对方一召唤物的先手/退场/反击（至多三次）
01318 弱化棱晶 | 先手：使任意一召唤物本次攻击回合ATK临时变为1
01319 无畏者 | 进场：无效果触发对方反制牌。该召唤物不会触发反制牌
01320 魔术师 | 退场：摸牌至基础费用之和>=4。主动退场：摸至>=10
01321 谜语人 | 退场：打出手牌一张反制牌（不消耗能量）
01322 残篇 | 进场：使己方两名召唤物退场（一个回手，一个返费）
01323 法官 | 在场时对方无法触发退场
01324 猎杀者 | 先手：本次攻击ATK临时增加对方场上最高阶位值
01325 富商 | 主动退场：获得当前HPx2的能量（可突破上限）
01326 陷阱 | 反击：对击杀者造成999伤害
01327 阴影聚合体 | 附着：+4+3，不再受伤但攻击直扣自己HP
01328 破防者 | 在场时己方召唤物攻击护盾目标额外扣除2HP
01329 初学魔法师 | 进场：打出手牌一张法术（若为反制不扣费用）
01330 守墓人 | 该召唤物导致的对方退场不会触发退场特性
01331 囚牢 | 进场：暂时封锁双方一个空格子。仅己方可放渊前缀。退场恢复
01332 异面信徒 | 
01333 幻身 | 附着：+4+3
01334 集群意识 | 附着：+2+1（若附着时带灵能前缀→己方全体+2+1）
01335 能量骇客 | 附着：+2+2。在场时对位召唤物除能量骇客外无法触发任何特性
01336 修正者 | 攻击前排。攻击目标排其他1伤。附着：为先手附加特性（灵能→增强）
01337 海盗 | 进场：调整对位排召唤物位置
01338 深海恶物 | 反击：选一格，临时+0-1。主动退场：选两格+1能量
01339 守望者 | 对方打出牌效果结算后对对方一召唤物造成1伤害
01340 嚎哭怨灵 | 血歌。反击：对对位整排造成己方血歌前缀数的伤害
01341 反社会分子 | 血歌。对位无血歌→伤害修正+2*前缀数
